Date_Text,Language,Post_Type,Publisher,Title,Category,Description,mediaType,Viewes,Reads,Likes,Comments,Shares
"January 3rd 2021, 13:00:01.430",Telugu,news,Nijam Today,?????????? ???????? ????? ?????? ?????  ,,?????????? ???????? ????? ?????? ?????  ,text,32,0,0,0,
"January 3rd 2021, 10:45:01.182",Malayalam,news,BraveIndiaNews,???????? ?????????; ????? ???????????????? 7 ??? ???????,,"????????: ???????????? ?????????? ?????????? ??? ???????????? ????????? ???????? ?????. ??????, ?????????, ?????, ?????????, ???????, ?????, ??? ?????????? ????????. ????????? ?????????? ??????? ???????? ??????. ???????? ???????????? ????????? ???????. ????????? ?????? ??? ???????????????? ???????? ??????? ??????????????. 5 ?????????? ????????? ???????? ????????????? ??? ??????? ??????????? ?????? ???????????????? ?????????????????????. ??????????? ?????? ??????????? 33 ???? ???????????????????????. ?????????????????? 11 ???? ???????????? [?]",text,32,0,0,0,
"January 3rd 2021, 08:00:00.972",Malayalam,news,Janmabhumi,???????? ?????????? ????? ????? ????? ?????? ?????; ??????? ?????????? ???????????????????? ?????? ???????????????????????? ???????????,Top Stories,???????? ?????????? ????? ????? ????? ?????? ?????; ??????? ?????????? ???????????????????? ?????? ???????????????????????? ??????????? church. Inter Religious Marriage. marriage,text,32,0,0,0,
"January 3rd 2021, 07:00:00.158",Hindi,news,Amar Ujala,"Coronavirus Vaccine: ???? ??? ??? ?? ?? ??????? ?? ???? ??????, ???? ?? ?? ??????? ????? ???? ???? ??? ?????",Top Stories,"???? ??? ?????? ????? ?? ????? ?????? ?? ?? ??????? ?? ??? ?? ???? ??????? ?? ?? ?? ???? ??-?? ??????? ?? ?? ??? ?????? ???? ??? ?????? ???????? ???? ?? ?????? ?? ????????? ??????????? ?? ????????????? ?? ?????-19 ??????? '?????????', ????? ??????? ???? ??? ???? ??????????? ?? ??? ?? ?? ???? ??????? ?? ??????? '?????????' ?? ????????? ???????? ?? ?????? ?? ?? ??? ???????????? ??????? ???? ?? ??? ?? ?? ???????? ?? ???? ??????????? ?? ?????? ?? ???? ??????? ?? ??????? ?? ?????? ???? ?? ?????? ?? ????? ?? ????? ??? ?? ?? ????? ??? ??? ???? ?? ??? ?? ?? ?? ????? ?? ???? ??? ??????? ?????? ???? ????, ?????? ?? ????? ??????? ?? ???????? ???? ??????",text,31,0,0,0,
"January 3rd 2021, 17:00:00.172",Hindi,news,India TV,"26 ????? ?? ?????????? ?? ???? ?? ????? ????? ?? ????, ?? ?? ???",Top Stories,"????? ??????? ?? ???, ""1971 ?? ????? ??? ????????? ?? ?????? ???? ?? 50??? ???? ??????????? ???? ?? ?? ????????????? 26 ????? ?? ??????? ???? ?? ???? ??? ??? ?????""",text,31,1,0,0,
"January 3rd 2021, 14:00:00.209",Hindi,news,Live Hindustan,"IND vs AUS: ??? ????? ?? ?????? ????? ?????? ?? ????????? ???? ??? ???? ?????? ???, VIDEO ?????",Top Stories,???? ?? ??????????? ?? ??? ???????-??????? ????? ????? ?? ????? ????? ??? 7 ????? ?? ????? ??????? ??????? ?? ???? ?????? ??? ????? ?? ????? ??? 1-1 ?? ????? ??? ?? ?? ??? ????? ????? ????? ??? ?????? ???? ????? ??? ??? ???? ???? ??? ?????? ??? ?? ???? ????? ????? ???? ????????? ?? ??? ???? ?????? ??????? ??? ?? ?? ??? ?? ?????? ???? ??????????? ?? ???? ???? ?????? ????? ?????? ??? ?????? ?? ?????? ?? ??? ????,text,31,0,0,0,
"January 3rd 2021, 18:15:01.123",English,news,Hindustan Times,PM Modi dials Sourav Ganguly; angioplasty likely for 2 more arteries for BCCI chief,Top Stories,"Chief minister Mamata Banerjee, Bengal governor Jagdeep Dhankhar, a number of cabinet ministers rushed to the hospital on Saturday. BJP leaders also inquired about Ganguly?s health. Union home minister Amit Shah told state BJP leaders that the Centre would make available all facilities required for Ganguly?s treatment.",text,31,1,0,0,
"January 3rd 2021, 11:15:01.537",Malayalam,news,BraveIndiaNews,???????????????? ????????? ?????????; ??????? ?????? ????????? ??????????????? ??????? ???????,,????: ?????? ??????????? ?????? ???????????? ???????? ????????? ???????????????????? ???????? ????????? ??????????????? ??????? ??? ?????????? ??????? ??????? ?????? ????? ????. ?????? ????????????? ???????? ?????????? ????? ???????????? ??? ???????????? ????????? ??????? ?????? ??????? ???????????? ??????????????? ??????????????????????? ???????. ??????? ????????? ??????????????? ????? ???????????? ??? ???????????? ??????? ???????????? ???????????? ?????? ??????? ??????? ??????????? ?????? ????????????????. ??? ????? ??????? ????????? [?],text,31,0,0,0,
"January 3rd 2021, 15:00:02.241",Marathi,news,Maharashtra Desha,"???????????? ??????????? ????? ?????? ????, ????????????? ????????? ??????? ?????",Political & General News,"????? ????????? ????? ??????? 25 ????????????? ???????? ?????????? ???? ????? ???? ??????? ??? ??????? ????? ????? ???? ?? ???? ????????? ??? ????. ???????? ????? ??????, ????, ??????????? ????? ???? ?????? ??????? ??????? ?????? ?????. ???????????????? ???? ????? ???? ???? ???????? ??????? ??????? ????, ??? ????? ???????????? ???? ?. ?????? ???? ????? ??????? ????????? ????.",text,31,0,0,0,
"January 3rd 2021, 17:00:00.531",Hindi,news,Jagran,"????? ?? ??????? ?? ?????? ?? ?????? ?? ??????, ???? ??? ?? ???? ???? ?? ???? ???? ?? ????",Top Stories,"???? ????? ?? ??? ???? ?? ????? ???? ??? ????? ???? ??????? ?? ????? ?? ??????? ?????? ????? (??????) ?? ?????? ?? ???? ?????? ?? ??? ????? ??????? ?? ????? ?? ??? ?????? ?? ??? ???? ??? ???? ???? ??? ?????? ?????? ?? ?? ?????? ??? ????, ?????? ????? ???? ????????? ?????? ?? ??????? ?? ????? ??????? ???????, ????? ??????? ?? ??????? ???? ??? ???? ?? ????? ?????? ?? ????? ??? ???? ?? ???? ???? ",text,31,0,0,0,
